name,calories,totalfat,carbs,protein
"Puddins, prepared with whole milk, reular, dry mix, chocolate",120,3.2,19.64 ,3.16
"Cereals, dry, unenriched, reular and quick, yellow, corn rits",371,1.2,79.60 ,8.80
"Veal, raw, separable lean only, whole (arm and blade), shoulder",112,3,0.00 ,19.79
"Soup, prepared with equal volume water, canned, cream of celery",37,2.3,3.62 ,0.68
"Cereals ready-to-eat, Caramel Deliht, FIBER ONE, ENERAL MILLS",344,5.8,82.69 ,5.80
"CAMPBELL'S Red and White, condensed, Creamy Chicken Noodle Soup",97,5.7,8.87 ,3.23
"Cereals, dry, with cinnamon and spice, fortified, instant, oats",369,4.8,76.08 ,9.53
"KASHI, Frozen Entree, Chicken and Chipotle BBQ Sauce with Mano",108,2.1,17.60 ,5.30
"POPEYES, meat and skin with breadin, Win, Mild, Fried Chicken",338,22,13.52 ,20.40
"Candies, milk chocolate with honey and almond nouat, TOBLERONE",525,29,61.21 ,5.71
"Turnover, unprepared, frozen, tomato-based sauce, cheese-filled",235,9.5,27.29 ,10.24
"Dessert toppin, 1.5 ounce prepared with 1/2 cup milk, powdered",194,13,17.13 ,3.61
"CAMPBELL'S Red and White, condensed, Italian Style Weddin Soup",71,2,9.52 ,3.17
"Brussels sprouts, without salt, drained, boiled, cooked, frozen",42,0.4,8.32 ,3.64
"Babyfood, prepared with whole milk, with bananas, mixed, cereal",86,3.5,10.00 ,3.82
"USDA Commodity, cooked, frozen, round bulk/coarse round, beef",259,16,0.00 ,26.06
"Chicken, raw, with added solution, skin (drumsticks and thihs)",386,38,0.01 ,11.11
"Beans, without salt, boiled, cooked, mature seeds, black turtle",130,0.4,24.35 ,8.18
"KELLO'S, Frosted Chocolate Baked Bites, POP-TARTS MINI CRISPS",438,12,78.90 ,5.00
"Salmon, smoked (Alaska Native), filets with skin, red (sockeye)",345,11,0.00 ,60.62
"Cake, special dietary (includes lemon-flavored), dry mix, white",397,8.4,79.60 ,3.00
"KELLO'S, Frosted Blueberry Muffin Toaster Pastries, POP-TARTS",397,11,70.90 ,4.00
"Chicken, roasted, cooked, meat only, breast, broilers or fryers",165,3.6,0.00 ,31.02
"Nuts, with salt added, without peanuts, oil roasted, mixed nuts",615,56,22.27 ,15.52
"Wheat flour, enriched, bleached, 9% protein, white (industrial)",367,1.4,77.32 ,8.89
"KEEBLER, bite-size, Chocolate Chip Cookies, CHIPS DELUXE, RIPZ",473,19,71.30 ,5.30
"Buffalo, cooked (Shoshone Bannock), top round steak, free rane",146,1.8,0.00 ,32.51
"Elk, cooked (Shoshone Bannock), eye of round, roast, free rane",148,2.9,0.00 ,30.56
"Mararine, tub, 67-70% fat, mararine-like veetable oil spread",606,68,0.59 ,0.07
"Infant formula, ready-to-feed, LACTOFREE, ENFAMIL, MEAD JOHNSON",63,3.5,7.18 ,1.38
"Peas and carrots, without salt, drained, boiled, cooked, frozen",48,0.4,10.12 ,3.09
"Babyfood, Real Fruit Bars, ERBER RADUATE FRUIT  STRIPS, snack",330,2.2,76.61 ,0.82
"Infant formula, ready-to-feed, with iron, ENFAMIL, MEAD JOHNSON",63,3.5,7.20 ,1.38
"Pork, raw, separable lean only, country-style ribs, loin, fresh",140,5.6,0.00 ,20.76
"Pork, roasted, separable lean only, arm picnic, shoulder, cured",170,7,0.00 ,24.94
"Potatoes, unprepared, frozen, salt added in processin, roasted",130,1.8,26.15 ,2.22
"Babyfood, junior, without ascorbic acid, fruit dessert, dessert",63,0,17.20 ,0.30
"Pork, braised, cooked, separable lean and fat, spareribs, fresh",397,30,0.00 ,29.06
"Pie crust, made with enriched flour, unbaked, frozen, deep dish",468,29,46.79 ,5.52
"Candies, SKITTLES Tropical Bite Size Candies, MARS SNACKFOOD US",405,4.3,90.77 ,0.19
"Beef, pan-broiled, cooked, patty, 97% lean meat /3% fat, round",144,3.7,0.00 ,26.03
"Beef, pan-broiled, cooked, patty, 93% lean meat /7% fat, round",182,8,0.06 ,25.56
"Infant Formula, powder, Newborn, Premium, ENFAMIL, MEAD JOHNSON",514,27,57.00 ,10.80
"Infant formula, ready-to-feed, PROTECT PLUS, OOD START, ERBER",65,3.4,7.17 ,1.44
"Infant Formula, ready-to-feed, ENTLE PLUS, ERBER OOD START 2",66,3.3,7.61 ,1.44
"Beef, raw, separable lean and fat, flank, imported, New Zealand",161,8.9,0.00 ,20.12
"Seal, raw (Alaska Native), low quadrant, meat, bearded (Ooruk)",186,10,0.00 ,23.63
"Fast Food, thick crust, sausae toppin, 14"" pizza, Pizza Chain",282,13,30.36 ,11.06
"Pork, unheated, separable lean only, bone-in, shank, ham, cured",125,3.2,0.18 ,23.79
"Pork, unheated, separable lean only, bone-in, slice, ham, cured",130,3.6,0.00 ,24.36
"MORNINSTAR FARMS Breakfast Sausae Patties, unprepared, frozen",210,7.9,8.80 ,25.80
"ame meat, raw, 1"" steak, separable lean only, top round, bison",122,2.4,0.00 ,23.32
"Succotash, with salt, drained, boiled, cooked, (corn and limas)",111,0.8,24.37 ,5.07
"Pieon peas (red ram), with salt, boiled, cooked, mature seeds",121,0.4,23.25 ,6.76
"Crustaceans, made from surimi, imitation, mixed species, shrimp",101,1.5,9.13 ,12.39
"Peas, with salt, drained, boiled, cooked, frozen, edible-podded",50,0.4,8.43 ,3.50
"Cookies, special dietary, commercially prepared, chocolate chip",450,17,73.40 ,3.90
"Cereals, dry, blueberry hazelnut, REAL MEDLEYS, oatmeal, QUAKER",386,9.8,69.47 ,9.81
"Lamb, soaked and simmered, cooked, heart, imported, New Zealand",161,6.2,0.00 ,26.26
"Candies, SKITTLES Oriinal Bite Size Candies, MARS SNACKFOOD US",405,4.4,90.78 ,0.19
"Cookies, made with butter, prepared from recipe, chocolate chip",488,28,58.20 ,5.70
"Cheese food, vitamin D fortified, American, pasteurized process",330,26,8.56 ,16.86
"Cheese, fortified with vitamin D, American, pasteurized process",366,31,4.78 ,18.13
"Babyfood, prepared with whole milk, with honey, oatmeal, cereal",115,3.9,15.30 ,5.00
"Mararine-like, with salt, stick, 60% fat, veetable oil spread",537,60,0.69 ,0.12
"Cabbae, with salt, drained, boiled, cooked, chinese (pak-choi)",12,0.2,1.78 ,1.56
"Turkey, roasted, cooked, meat and skin, drumstick, retail parts",197,9.4,0.00 ,28.21
"CAMPBELL'S Soup on the o, Cheesy Potato with Bacon Flavor Soup",43,2,5.25 ,0.66
"Apricots, solids and liquids, without skin, water pack, canned",22,0,5.48 ,0.69
"Corn, solids and liquids, no salt added, canned, yellow, sweet",61,0.8,13.86 ,1.95
"Candies, COCOAVIA Chocolate Covered Almonds, MARS SNACKFOOD US",573,37,50.22 ,9.51
"Raspberries, solids and liquids, heavy syrup pack, red, canned",91,0.1,23.36 ,0.83
"Cereals ready-to-eat, KELLO'S FROSTED RICE KRISPIES, KELLO",384,0.4,91.30 ,4.30
"Infant Formula, powder, Infant, Premium, ENFAMIL, MEAD JOHNSON",510,27,57.00 ,10.80
"KELLO'S, Frosted Wild Strawberry Toaster Pastries, POP-TARTS",391,9.7,72.10 ,3.90
"Lima beans, with salt, drained, boiled, cooked, immature seeds",123,0.3,23.64 ,6.81
"Cereals ready-to-eat, spoon-size, Shredded Wheat n' Bran, POST",339,2.1,80.65 ,10.93
"Pork, raw, separable lean and fat, arm picnic, shoulder, fresh",193,13,0.00 ,18.71
"Veal, braised, cooked, pancreas, variety meats and by-products",256,15,0.00 ,29.10
"Lamb, braised, cooked, pancreas, variety meats and by-products",234,15,0.00 ,22.83
"Fish, smoked and canned (Alaska Native), chinook, kin, salmon",150,5.9,0.00 ,23.20
"Broadbeans, with salt, drained, boiled, cooked, immature seeds",62,0.5,10.10 ,4.80
"Beans, with salt, drained, boiled, cooked, frozen, reen, snap",28,0.2,6.45 ,1.49
"Soup, prepared with equal volume milk, canned, cream of potato",60,2.6,6.92 ,2.33
"Cereals ready-to-eat, Honey Almond Flax, KASHI O LEAN CRUNCH!",379,9.9,66.90 ,16.79
"Pork, raw, separable lean and fat, rump half, le (ham), fresh",182,11,0.00 ,20.27
"Beans, without salt, boiled, cooked, mature seeds, small white",142,0.6,25.81 ,8.97
"Chicken, simmered, cooked, meat only, neck, broilers or fryers",179,8.2,0.00 ,24.56
"Chicken, roasted, cooked, meat only, thih, broilers or fryers",179,8.2,0.00 ,24.76
"Soup, prepared with equal volume milk, canned, cream of celery",66,3.9,5.86 ,2.29
"MORNINSTAR FARMS California Turk'y Burer, unprepared, frozen",155,7.7,12.60 ,14.90
"Babyfood, oranic, carrot and squash, apple, 2nd Foods, ERBER",64,0,14.82 ,1.10
"Beveraes, prepared with water, decaffeinated, instant, coffee",2,0,0.43 ,0.12
"Pork loin, lean only, cooked-roasted, bone-in, backribs, fresh",255,18,0.00 ,24.15
"Beef, raw, separable lean and fat, flat, imported, New Zealand",177,11,0.00 ,20.57
"Oil, all purpose salad or cookin, industrial and retail, corn",900,100,0.00 ,0.00
"Frostins, prepared with mararine, dry mix, creamy, chocolate",404,13,71.02 ,1.10
"Danish pastry, nut (includes almond, raisin nut, cinnamon nut)",430,25,45.70 ,7.10
"Cereals ready-to-eat, STRAWBERRY FIELDS, KASHI ORANIC PROMISE",358,0.7,83.50 ,9.40
"CAMPBELL'S CHUNKY Soups, Slow Roasted Beef with Mushrooms Soup",48,0.6,7.35 ,3.27
"CAMPBELL'S CHUNKY Soups, rilled Steak- Steak Chili with Beans",81,1.2,11.02 ,6.53
"MARTHA WHITE FOODS, dry, Martha White's Buttermilk Biscuit Mix",388,13,59.41 ,7.81
"Potatoes, without salt, drained, boiled, cooked, whole, frozen",65,0.1,14.52 ,1.98
"Soup, prepared with equal volume water, canned, veetable beef",31,0.8,4.06 ,2.23
"CAMPBELL'S CHUNKY Soups, Baked Potato with Steak & Cheese Soup",82,4.1,8.57 ,3.27
"Cereals ready-to-eat, KELLO'S SPECIAL K Red Berries, KELLO",358,1.3,87.09 ,6.30
"Potatoes, home-prepared from recipe usin mararine, au ratin",132,7.6,11.27 ,5.06
"Soup, prepared with equal volume water, canned, chicken noodle",24,0.8,2.97 ,1.16
"Beveraes, prepared with water, sweetened, lemon, instant, tea",35,0.1,8.61 ,0.01
"Fast Food, thick crust, cheese toppin, 14"" pizza, Pizza Chain",271,11,33.17 ,10.81
"Crustaceans, moist heat, cooked, wild, mixed species, crayfish",82,1.2,0.00 ,16.77
"Cereals ready-to-eat, HONEY CLUSTERS, FIBER ONE, ENERAL MILLS",323,2.6,83.90 ,7.69
"Beef, braised, cooked, pancreas, variety meats and by-products",271,17,0.00 ,27.10
"Veal, roasted, cooked, separable lean and fat, blade, shoulder",186,8.7,0.00 ,25.15
"Veal, roasted, cooked, separable lean and fat, le (top round)",160,4.7,0.00 ,27.70
"Veal, braised, cooked, separable lean and fat, le (top round)",211,6.3,0.00 ,36.16
"Beans, without salt, boiled, cooked, mature seeds, red, kidney",127,0.5,22.80 ,8.67
"Pork, roasted, cooked, separable lean and fat, backribs, fresh",292,22,0.00 ,23.01
"Pieonpeas, with salt, drained, boiled, cooked, immature seeds",111,1.4,19.49 ,5.96
"Chicken, raw, with added solution, meat only, thih, dark meat",110,3.7,0.00 ,19.11
"Milk, with blend of hydroenated veetable oils, fluid, filled",63,3.5,4.74 ,3.33
"Babyfood, prepared with whole milk, with bananas, rice, cereal",86,3.3,10.49 ,3.57
"Babyfood, strained, with applesauce and bananas, mixed, cereal",82,0.5,18.00 ,1.20
"Fast foods, plain, boneless pieces, breaded and fried, chicken",307,20,14.93 ,15.92
"DIIORNO Pizza, baked, frozen, risin crust, pepperoni toppin",265,10,31.15 ,12.46
"KELLO'S, Frosted Cookies & Creme Toaster Pastries, POP-TARTS",379,9.8,69.30 ,4.90
"Chicken, stewed, cooked, meat only, breast, broilers or fryers",151,3,0.00 ,28.98
"Cereals ready-to-eat, Date & Pecan, Raisin, REAT RAINS, POST",378,7.1,74.30 ,7.90
"Soup, sinle brand, ready-to-serve, chunky, potato ham chowder",80,5.2,5.60 ,2.70
"Beans, solids and liquids, no salt added, canned, yellow, snap",15,0.1,3.50 ,0.80
"Fish, drained solids, without salt, canned in oil, liht, tuna",198,8.2,0.00 ,29.13
"Fish, drained solids, without salt, canned in oil, white, tuna",186,8.1,0.00 ,26.53
"Tortillas, without added calcium, flour, ready-to-bake or -fry",325,7.1,55.60 ,8.70
"Formulated bar, mixed flavors, ZONE PERFECT CLASSIC CRUNCH BAR",422,14,45.00 ,30.00
"Beans, with salt, boiled, cooked, mature seeds, reat northern",118,0.5,21.09 ,8.33
"Nuts, lihtly salted, without peanuts, oil roasted, mixed nuts",607,50,25.00 ,17.86
"Pork, braised, cooked, separable lean only, whole, loin, fresh",204,9.1,0.00 ,28.57
"Pork, roasted, cooked, separable lean only, whole, loin, fresh",209,9.6,0.00 ,28.62
"Pork, broiled, cooked, separable lean only, whole, loin, fresh",210,9.8,0.00 ,28.57
"PREO Pasta, ready-to-serve, Mushroom and arlic Italian Sauce",62,1.9,10.00 ,1.54
"Peas and onions, without salt, drained, boiled, cooked, frozen",45,0.2,8.63 ,2.54
"Chicken breast, prepackaed, sliced, rotisserie seasoned, deli",98,1.9,2.92 ,17.40
"Bread, enriched (includes corn muffin mix), dry mix, cornbread",418,12,69.50 ,7.00
"Infant formula, ready-to-feed, low iron, ENFAMIL, MEAD JOHNSON",63,3.5,7.18 ,1.38
"ARDENBURER Sun-Dried Tomato Basil Burer, unprepared, frozen",137,3.6,23.70 ,5.50
"SUNSHINE, Duoz Smoked Cheddar Monterey Jack Crackers, CHEEZ-IT",507,26,60.80 ,9.00
"Milk, with added vitamin A and vitamin D, instant, nonfat, dry",358,0.7,52.19 ,35.10
"Fast foods, lare patty; with condiments, cheeseburer; sinle",269,14,19.72 ,15.21
"Fast foods, lare patty; with condiments, cheeseburer; double",272,16,14.43 ,16.96
"Beveraes, prepared with fat free milk, powder, chocolate malt",49,0.2,8.64 ,3.25
"Pork, unheated, separable fat (from ham and arm picnic), cured",579,61,0.09 ,5.68
"Cocoa, HERSHEY'S European Style Cocoa, unsweetened, dry powder",410,10,60.00 ,20.00
"Beveraes, prepared with whole milk, powder, Eno-flavor mix",95,3,14.20 ,2.93
"Candies, M&M's MINIs Milk Chocolate Candies, MARS SNACKFOOD US",502,23,68.40 ,4.78
"Toaster Pastries, Frosted cherry, KELLO'S POP TARTS, KELLO",397,10,72.00 ,4.20
"Fast Food, thin crust, sausae toppin, 14"" pizza, Pizza Chain",321,18,27.00 ,13.36
"Soup, prepared with equal volume water, canned, cream of onion",44,2.2,5.20 ,1.13
"SUBWAY, SUBWAY CLUB sub on white bread with lettuce and tomato",146,2.4,20.36 ,10.66
"Pork, unheated, separable lean only, bone-in, rump, ham, cured",125,2.9,0.32 ,24.46
"Milk, with added vitamin A and vitamin D, reular, nonfat, dry",362,0.8,51.98 ,36.16
"CAMPBELL'S CHUNKY Soups, Fajita Chicken with Rice & Beans Soup",53,0.6,9.39 ,2.86
"CAMPBELL'S CHUNKY Soups, Chicken Broccoli Cheese & Potato Soup",86,4.5,8.16 ,2.86
"Soup, ready-to-serve, canned, reduced sodium, chunky veetable",50,0.5,10.28 ,1.16
"Cereals ready-to-eat, KASHI OLEAN CRISP Toasted Berry Crumble",368,8.2,66.69 ,18.00
"Veal, braised, cooked, separable lean and fat, blade, shoulder",225,10,0.00 ,31.26
"Soup, prepared with equal volume water, canned, bean with pork",63,2.2,8.31 ,2.88
"Mararine-like, soybean oil and butter, mararine-butter blend",727,80,0.77 ,0.31
"Squash, unprepared, frozen, crookneck and straihtneck, summer",20,0.1,4.80 ,0.83
"Squash, without salt, drained, boiled, cooked, scallop, summer",16,0.2,3.30 ,1.03
"CAMPBELL'S Soup on the o, HEALTHY REQUEST Classic Tomato Soup",39,0,9.18 ,0.98
"Sweet rolls, baked, refrierated douh with frostin, cinnamon",362,13,56.10 ,5.40
"Cereals ready-to-eat, MOTHER'S Toasted Oat Bran cereal, QUAKER",372,5,75.41 ,11.45
"Cereals, dry, with raisins and spice, fortified, instant, oats",360,4,76.33 ,8.45
"CAMPBELL'S Red and White, condensed, Veetarian Veetable Soup",71,0.4,14.29 ,2.38
"Cheese, without added vitamin D, American, pasteurized process",371,32,3.70 ,18.13
"Veal, separable lean and fat, bone-in, hind, shank, Australian",144,7.2,0.00 ,19.78
"Beveraes, citrus flavor, suar-free, VAULT Zero, Enery drink",1,0.1,0.70 ,0.25
"Cabbae, with salt, drained, boiled, cooked, chinese (pe-tsai)",14,0.2,2.41 ,1.50
"Onions, without salt, drained, boiled, cooked, chopped, frozen",28,0.1,6.59 ,0.77
"Babyfood, junior, with applesauce and bananas, oatmeal, cereal",75,0.7,15.80 ,1.30
"Macaroni and cheese dinner with dry sauce mix, uncooked, boxed",379,4.8,70.12 ,13.86
"Chicken, batter, fried, cooked, skin only, broilers or fryers",394,29,23.15 ,10.32
"Veetables, with salt, drained, boiled, cooked, frozen, mixed",60,0.2,13.09 ,2.86
"Snacks, M&M's milk chocolate, KUDOS Whole rain Bar, M&M MARS",415,12,73.01 ,3.78
"Beveraes, prepared with water, powder, lemonade-flavor drink",27,0.1,6.90 ,0.00
"Beef, raw, all rades, separable lean and fat, chuck for stew",128,4.5,0.16 ,21.75
"Bread, made with nonfat dry milk, prepared from recipe, white",274,2.6,53.60 ,7.70
"Beveraes, assorted flavors, calorie-free, Powerade Zero Ion4",0,0,0.00 ,0.00
"Cereals ready-to-eat, QUAKER Honey raham LIFE Cereal, QUAKER",373,4.1,78.56 ,9.33
"Mararine-like, sweetened, stick or tub, veetable oil spread",534,52,16.70 ,0.00
"Fish, canned (Alaska Native), kippered, chinook, kin, salmon",266,16,0.00 ,30.70
"Chicken, roasted, cooked, meat only, back, broilers or fryers",239,13,0.00 ,28.19
"MORNINSTAR FARMS Mushroom Lover's Burer, unprepared, frozen",168,8.2,9.20 ,14.30
"Crustaceans, moist heat, cooked, mixed species, spiny lobster",143,1.9,3.12 ,26.41
"Beef, broiled, cooked, patty, 90% lean meat / 10% fat, round",217,12,0.00 ,26.11
"Beef, broiled, cooked, patty, 85% lean meat / 15% fat, round",250,15,0.00 ,25.93
"Beans, solids and liquids, seasoned, all styles, canned, snap",16,0.2,3.49 ,0.83
"Beef, pan-fried, cooked, liver, variety meats and by-products",175,4.7,5.16 ,26.52
"CAMPBELL'S HEALTHY REQUEST, condensed, Cream of Mushroom Soup",55,1.7,8.60 ,1.29
"Cereals ready-to-eat, Bi Bite, KELLO'S FROSTED MINI-WHEATS",350,1.6,83.40 ,9.20
"KEEBLER, Mini Brownies, FUDE SHOPPE, 100 Calorie RIHT BITES",455,20,65.10 ,4.50
"Chicken, raw, meat only, thih, dark meat, broilers or fryers",121,4.1,0.00 ,19.66
"Chicken, stewed, cooked, meat only, thih, broilers or fryers",195,9.8,0.00 ,25.00
"CAMPBELL'S, condensed, 25% Less Sodium Cream of Mushroom Soup",89,6.5,6.45 ,1.61
"Soup, prepared with equal volume water, canned, beef mushroom",30,1.2,2.60 ,2.37
"Cereals ready-to-eat, KELLO'S KRAVE double chocolate cereal",397,11,75.90 ,7.10
"Veal, pan-fried, cooked, brain, variety meats and by-products",213,17,0.00 ,14.48
"Lamb, braised, cooked, kidneys, variety meats and by-products",137,3.6,0.99 ,23.65
"Veal, braised, cooked, kidneys, variety meats and by-products",163,5.7,0.00 ,26.32
"Soup, prepared with equal volume water, canned, tomato bisque",50,1,9.60 ,0.92
"Chrysanthemum, without salt, drained, boiled, cooked, arland",20,0.1,4.31 ,1.64
"Pork, raw, chitterlins, variety meats and by-products, fresh",182,17,0.00 ,7.64
"Ravioli, canned, with tomato sauce or meat sauce, meat-filled",97,3.4,13.26 ,3.24
"Fast foods, reular patty; with condiments, hamburer; sinle",263,10,29.57 ,13.30
"Babyfood, strained, papaya and applesauce with tapioca, fruit",70,0.1,18.90 ,0.20
"Rice, with salt, enriched, cooked, reular, lon-rain, white",130,0.3,28.17 ,2.69
"Beef, broiled, cooked, patty, 70% lean meat / 30% fat, round",277,19,0.00 ,25.38
"MORNINSTAR FARMS Spicy Black Bean Burer, unprepared, frozen",168,6.1,19.10 ,14.60
"Cereals ready-to-eat, Honey Toasted Oat, KASHI HEART TO HEART",364,5,78.69 ,11.39
"ON THE BORDER, cheese and lettuce, soft taco with round beef",229,11,19.28 ,13.19
"Soup, prepared with equal volume water, canned, chicken broth",16,0.6,0.38 ,2.02
"Soup, prepared with equal volume water, canned, chicken umbo",23,0.6,3.43 ,1.08
"Infant formula, ready-to-feed, soy, store brand, PBM PRODUCTS",63,3.5,6.09 ,1.80
"Fast Food, thin crust, cheese toppin, 14"" pizza, Pizza Chain",302,14,31.20 ,12.85
"Mustard reens, without salt, drained, boiled, cooked, frozen",19,0.3,3.11 ,2.27
"Cereals ready-to-eat, CAP'N CRUNCH with CRUNCHBERRIES, QUAKER",397,4.8,85.93 ,4.45
"Babyfood, strained, veetables and dumplins and beef, dinner",48,0.9,7.70 ,2.00
"Cereals, dry, cherry pistachio, REAL MEDLEYS, oatmeal, QUAKER",394,11,66.73 ,12.02
"Snacks, cheese-flavor, made from dried potatoes, potato chips",551,37,50.60 ,7.00
"Veal, cooked, separable fat, composite of trimmed retail cuts",642,67,0.00 ,9.42
"Lamb, raw, separable lean only, breast, imported, New Zealand",149,8,1.02 ,18.31
"Lamb, soaked and fried, cooked, kidney, imported, New Zealand",112,3.6,0.18 ,19.78
"Beef, pan-fried, cooked, brain, variety meats and by-products",196,16,0.00 ,12.57
"Veal, raw, separable lean and fat, rib roast, rib, Australian",201,13,1.15 ,19.60
"CAMPBELL'S Red and White, condensed, New Enland Clam Chowder",71,2,10.32 ,3.17
"Pineapple, solids and liquids, extra heavy syrup pack, canned",83,0.1,21.50 ,0.34
"Cherries, solids and liquids, liht syrup pack, canned, sweet",67,0.2,17.29 ,0.61
"Pie crust, made with enriched flour, baked, frozen, deep dish",521,32,52.47 ,6.10
"Broccoli, with salt, drained, boiled, cooked, chopped, frozen",28,0.1,5.35 ,3.10
"Collards, with salt, drained, boiled, cooked, chopped, frozen",36,0.4,7.10 ,2.97
"Lima beans, without salt, boiled, cooked, mature seeds, lare",115,0.4,20.88 ,7.80
"Beveraes, fortified with vitamin C, Apple juice liht, MOTTS",22,0.1,5.10 ,0.00
"Chicken, fried, cooked, meat only, breast, broilers or fryers",187,4.7,0.51 ,33.44
"Babyfood, prepared with whole milk, with honey, mixed, cereal",115,3.6,15.90 ,5.00
"Cereals ready-to-eat, CINNAMON HARVEST, KASHI ORANIC PROMISE",336,1.4,79.00 ,11.00
"Cereals ready-to-eat, REAT RAINS Crunchy Pecan Cereal, POST",403,11,73.00 ,9.00
"Snacks, oriinal flavor, Multirain Snack, SUNCHIPS, FRITOLAY",491,21,67.26 ,7.95
"KEEBLER, Reduced Fat, Pretzel Crackers, FLIPSIDES, TOWN HOUSE",450,16,70.40 ,7.20
"KEEBLER, arlic Herb, Pretzel Crackers, FLIPSIDES, TOWN HOUSE",486,24,63.00 ,6.50
"Biscuits, hiher fat, refrierated douh, plain or buttermilk",307,11,46.32 ,6.66
"Restaurant, Arroz con randules (rice and pieonpeas), Latino",182,5,30.75 ,3.50
"Beans, solids and liquids, reular pack, canned, yellow, snap",15,0.1,3.50 ,0.80
"Beans, solids and liquids, no salt added, canned, reen, snap",15,0.1,3.50 ,0.80
"HORMEL ALWAYS TENDER, Lemon arlic-Flavored, Pork Loin Filets",118,4.2,1.79 ,17.83
"Beef, broiled, cooked, patty, 80% lean meat / 20% fat, round",270,18,0.00 ,25.75
"Beef, broiled, cooked, patty, 75% lean meat / 25% fat, round",279,19,0.00 ,25.56
"KEEBLER, Reduced Fat, 1/2 Dipped, Fude rahams, FUDE SHOPPE",470,17,73.70 ,5.60
"Veal, pan-fried, cooked, liver, variety meats and by-products",193,6.5,4.47 ,27.37
"Lamb, pan-fried, cooked, liver, variety meats and by-products",238,13,3.78 ,25.53
"KEEBLER, White Fude Dipped Pretzels, 100 Calorie RIHT BITES",483,20,68.80 ,7.00
"Soup, prepared with equal volume milk, canned, cream of onion",75,3.8,7.40 ,2.74
"MORNINSTAR FARMS Breakfast Sausae Links, unprepared, frozen",159,6.1,6.80 ,19.20
"Babyfood, strained, veetables and noodles and turkey, dinner",44,1.2,6.80 ,1.20
"USDA Commodity, raw, frozen, bulk/links/patties, pork sausae",231,19,0.00 ,14.95
"PREO Pasta, ready-to-serve, Flavored with Meat Italian Sauce",62,1.9,10.00 ,1.54
"Cocoa, processed with alkali, hi-fat or breakfast, dry powder",479,24,49.71 ,16.80
"CAMPBELL'S, condensed, cream of chicken soup, HEALTHY REQUEST",50,1.5,7.50 ,3.00
"Babyfood, strained, bananas and pineapple with tapioca, fruit",65,0,17.80 ,0.20
"Squash, without salt, mashed, boiled, cooked, hubbard, winter",30,0.4,6.46 ,1.48
"KASHI Pizza, unprepared, frozen, sinle serve, reek Tzatziki",203,6.6,29.70 ,11.10
"Infant formula, powder, with iron, OOD START SUPREME, NESTLE",509,26,57.32 ,11.30
"Lamb, pan-fried, cooked, brain, variety meats and by-products",273,22,0.00 ,16.97
"SUBWAY, roast beef sub on white bread with lettuce and tomato",155,2.7,20.34 ,12.17
"Beveraes, canned, without added nutrients, fruit punch drink",48,0,11.97 ,0.00
"Pork, roasted, separable fat (from ham and arm picnic), cured",591,62,0.00 ,7.64
"Cereals ready-to-eat, KELLO'S APPLE JACKS with marshmallows",378,2.8,89.60 ,4.30
"Chicken, roasted, cooked, meat only, win, broilers or fryers",203,8.1,0.00 ,30.46
"Fast foods, reular patty; with condiments, hamburer; double",268,15,18.02 ,14.80
"Cereals ready-to-eat, CAP'N CRUNCH'S Halloween Crunch, QUAKER",402,5.7,85.14 ,4.41
"Potatoes, dry form, ranules without milk, dehydrated, mashed",372,0.5,85.51 ,8.22
"Seal, partially dried (Alaska Native), meat, bearded (Ooruk)",270,2.3,0.00 ,62.38
"Cereals, dry, enriched, reular and quick, yellow, corn rits",368,1.5,79.91 ,6.72
"CRUNCHMASTER, luten-Free, Snack Crackers, Multi-rain Crisps",456,16,67.18 ,10.91
"Pork, raw, frozen, ears, variety meats and by-products, fresh",234,15,0.60 ,22.45
"Seeds, without salt, roasted, whole, pumpkin and squash seeds",446,19,53.75 ,18.55
"Beef, simmered, cooked, tonue, variety meats and by-products",284,22,0.00 ,19.29
"Soup, prepared with equal volume water, canned, turkey noodle",28,0.8,3.54 ,1.60
"CAMPBELL'S CHUNKY Soups, rilled Chicken & Sausae umbo Soup",57,1.2,8.57 ,2.86
"Beveraes, fortified with vitamin C, liht, Apple juice drink",22,0.1,5.10 ,0.00
"Mollusks, made from surimi, imitation, mixed species, scallop",99,0.4,10.62 ,12.77
"Puddins, prepared with whole milk, reular, dry mix, vanilla",113,2.9,18.92 ,2.80
"Puddins, prepared with whole milk, instant, dry mix, vanilla",114,2.9,19.70 ,2.70
"Milk, with added vitamin A and vitamin D, fat free, chocolate",67,0,13.46 ,3.39
"Peaches, solids and liquids, heavy syrup pack, canned, spiced",75,0.1,20.08 ,0.41
"Chicken, not reheated, frozen, precooked, white meat, nuets",261,15,16.24 ,14.36
"Turkey from whole, roasted, cooked, meat and skin, liht meat",177,5.6,0.05 ,29.55
"Babyfood, toddler, chicken and noodle with veetables, dinner",66,1.7,8.89 ,3.80
"Crustaceans, breaded and fried, cooked, mixed species, shrimp",242,12,11.47 ,21.39
"CAMPBELL'S Red and White, condensed, Fiesta Nacho Cheese Soup",97,6.5,8.06 ,2.42
"Bread, refrierated, commercially prepared, whole wheat, naan",286,6.7,46.21 ,10.20
"Cereals, banana bread, Weiht Control Instant Oatmeal, QUAKER",361,6.2,64.42 ,16.50
"Cereals, dry, maple and brown suar, fortified, instant, oats",368,4.7,76.67 ,9.25
